Name,Position,College,RAS
Jett Duffey,QB,Hampton,3.45
Dave Ragone,QB,Louisville,4.74
Bart Houston,QB,Wisconsin,3.17
Jacob Eason,QB,Washington,3.44
Jordan Palmer,QB,Texas-El Paso,4.58
Clemente Gordon,QB,Grambling State,7.02
Matt Linehan,QB,Idaho,3.29
Erik White,QB,Bowling Green,6
Matt Rodgers,QB,Iowa,6.6
Jim Ballard,QB,Mount Union,5.85
Brock Huard,QB,Washington,5.61
Kylan Wiggins,QB,Southeast Florida,3.23
Levi Lewis,QB,Louisiana,3.24
Mike Irwin,QB,Portland State,3.21
Tyler Hansen,QB,Colorado,3.5
Kaylan Wiggins,QB,Southeastern Florida,3.19
Chris Mccoy,QB,Navy,6.53
Ross Comis,QB,Massachusetts,3.19
Joe Licata,QB,Buffalo,3.05
Kyle Bolin,QB,Rutgers,3.08
Matt Schaub,QB,Virginia,4.62
Nate Sudfeld,QB,Indiana,3.27
Sean Mannion,QB,Oregon State,3.18
Chuck Clements,QB,Houston,7.33
Dan Orlovsky,QB,Connecticut,4.4
Sean Canfield,QB,Oregon State,3.67
Jeff Blake,QB,East Carolina,5.74
Jawon Pass,QB,Prairie View A&M,3.15
John David Booty,QB,Southern California,3.73
Shane Morris,QB,Central Michigan,3.15
Paul Pinegar,QB,Fresno State,4.17
Dane Evans,QB,Tulsa,2.84
John OKorn,QB,Michigan,3.02
Cooper Rush,QB,Central Michigan,2.92
Jeff Francis,QB,Tennessee,6.75
Adam Kennedy,QB,Arkansas State,3.27
Cullen Harper,QB,Clemson,3.6
Justice Hansen,QB,Arkansas State,3
Jewel Walker,QB,Howard,5.61
Tom Savage,QB,Pittsburgh,3.23
Jonathan Beasley,QB,Kansas State,4.87
Jake Plummer,QB,Arizona State,6.46
Justin Alo,QB,Southeast Louisiana,2.76
Bryan Schor,QB,James Madison,2.76
John Brantley,QB,Florida,3.36
Zach Smith,QB,Tulsa,2.85
Malik Zaire,QB,Notre Dame,2.8
